seed,donor,outer_fold
5390,COMP_FFX_0039,4
5390,COMP_FFX_0005,5
5390,COMP_FFX_0010,5
5390,COMP_FFX_0015,5
5390,COMP_FFX_0020,5
5390,COMP_FFX_0022,5
5390,COMP_FFX_0030,5
5390,COMP_FFX_0035,5
5390,COMP_FFX_0037,5
5191,COMP_FFX_0001,1
5191,COMP_FFX_0007,1
5191,COMP_FFX_0011,1
5191,COMP_FFX_0017,1
5191,COMP_FFX_0022,1
5191,COMP_FFX_0027,1
5191,COMP_FFX_0031,1
5191,COMP_FFX_0036,1
5191,COMP_FFX_0002,2
5191,COMP_FFX_0006,2
5191,COMP_FFX_0012,2
5191,COMP_FFX_0016,2
5191,COMP_FFX_0023,2
5191,COMP_FFX_0026,2
5191,COMP_FFX_0033,2
5191,COMP_FFX_0038,2
5191,COMP_FFX_0004,3
5191,COMP_FFX_0009,3
5191,COMP_FFX_0013,3
5191,COMP_FFX_0018,3
5191,COMP_FFX_0024,3
5191,COMP_FFX_0029,3
5191,COMP_FFX_0035,3
5191,COMP_FFX_0037,3
5191,COMP_FFX_0005,4
5191,COMP_FFX_0008,4
5191,COMP_FFX_0014,4
5191,COMP_FFX_0019,4
5191,COMP_FFX_0025,4
5191,COMP_FFX_0030,4
5191,COMP_FFX_0032,4
5191,COMP_FFX_0039,4
5191,COMP_FFX_0003,5
5191,COMP_FFX_0010,5
5191,COMP_FFX_0015,5
5191,COMP_FFX_0020,5
5191,COMP_FFX_0021,5
5191,COMP_FFX_0028,5
5191,COMP_FFX_0034,5
5191,COMP_FFX_0040,5
5734,COMP_FFX_0001,1
5734,COMP_FFX_0006,1
5734,COMP_FFX_0012,1
5734,COMP_FFX_0017,1
5734,COMP_FFX_0021,1
5734,COMP_FFX_0027,1
5734,COMP_FFX_0031,1
5734,COMP_FFX_0036,1
5734,COMP_FFX_0003,2
5734,COMP_FFX_0008,2
5734,COMP_FFX_0013,2
5734,COMP_FFX_0018,2
5734,COMP_FFX_0023,2
5734,COMP_FFX_0028,2
5734,COMP_FFX_0033,2
5734,COMP_FFX_0040,2
5734,COMP_FFX_0004,3
5734,COMP_FFX_0007,3
5734,COMP_FFX_0014,3
5734,COMP_FFX_0016,3
5734,COMP_FFX_0025,3
5734,COMP_FFX_0026,3
5734,COMP_FFX_0032,3
5734,COMP_FFX_0037,3
5734,COMP_FFX_0005,4
5734,COMP_FFX_0009,4
5734,COMP_FFX_0011,4
5734,COMP_FFX_0019,4
5734,COMP_FFX_0022,4
5734,COMP_FFX_0029,4
5734,COMP_FFX_0034,4
5734,COMP_FFX_0039,4
5734,COMP_FFX_0002,5
5734,COMP_FFX_0010,5
5734,COMP_FFX_0015,5
5734,COMP_FFX_0020,5
5734,COMP_FFX_0024,5
5734,COMP_FFX_0030,5
5734,COMP_FFX_0035,5
5734,COMP_FFX_0038,5
6265,COMP_FFX_0001,1
6265,COMP_FFX_0006,1
6265,COMP_FFX_0011,1
6265,COMP_FFX_0016,1
6265,COMP_FFX_0021,1
6265,COMP_FFX_0026,1
6265,COMP_FFX_0032,1
6265,COMP_FFX_0036,1
6265,COMP_FFX_0003,2
6265,COMP_FFX_0007,2
6265,COMP_FFX_0012,2
6265,COMP_FFX_0017,2
6265,COMP_FFX_0023,2
6265,COMP_FFX_0028,2
6265,COMP_FFX_0033,2
6265,COMP_FFX_0038,2
6265,COMP_FFX_0004,3
6265,COMP_FFX_0010,3
6265,COMP_FFX_0013,3
6265,COMP_FFX_0019,3
6265,COMP_FFX_0024,3
6265,COMP_FFX_0029,3
6265,COMP_FFX_0034,3
6265,COMP_FFX_0037,3
6265,COMP_FFX_0005,4
6265,COMP_FFX_0008,4
6265,COMP_FFX_0014,4
6265,COMP_FFX_0018,4
6265,COMP_FFX_0025,4
6265,COMP_FFX_0027,4
6265,COMP_FFX_0035,4
6265,COMP_FFX_0039,4
6265,COMP_FFX_0002,5
6265,COMP_FFX_0009,5
6265,COMP_FFX_0015,5
6265,COMP_FFX_0020,5
6265,COMP_FFX_0022,5
6265,COMP_FFX_0030,5
6265,COMP_FFX_0031,5
6265,COMP_FFX_0040,5
466,COMP_FFX_0001,1
466,COMP_FFX_0007,1
466,COMP_FFX_0011,1
466,COMP_FFX_0017,1
466,COMP_FFX_0021,1
466,COMP_FFX_0026,1
466,COMP_FFX_0033,1
466,COMP_FFX_0036,1
466,COMP_FFX_0002,2
466,COMP_FFX_0006,2
466,COMP_FFX_0013,2
466,COMP_FFX_0016,2
466,COMP_FFX_0022,2
466,COMP_FFX_0028,2
466,COMP_FFX_0031,2
466,COMP_FFX_0038,2
466,COMP_FFX_0003,3
466,COMP_FFX_0008,3
466,COMP_FFX_0014,3
466,COMP_FFX_0018,3
466,COMP_FFX_0023,3
466,COMP_FFX_0029,3
466,COMP_FFX_0032,3
466,COMP_FFX_0037,3
466,COMP_FFX_0004,4
466,COMP_FFX_0009,4
466,COMP_FFX_0015,4
466,COMP_FFX_0019,4
466,COMP_FFX_0024,4
466,COMP_FFX_0030,4
466,COMP_FFX_0034,4
466,COMP_FFX_0039,4
466,COMP_FFX_0005,5
466,COMP_FFX_0010,5
466,COMP_FFX_0012,5
466,COMP_FFX_0020,5
466,COMP_FFX_0025,5
466,COMP_FFX_0027,5
466,COMP_FFX_0035,5
466,COMP_FFX_0040,5
4426,COMP_FFX_0001,1
4426,COMP_FFX_0006,1
4426,COMP_FFX_0011,1
4426,COMP_FFX_0016,1
4426,COMP_FFX_0021,1
4426,COMP_FFX_0026,1
4426,COMP_FFX_0031,1
4426,COMP_FFX_0036,1
4426,COMP_FFX_0002,2
4426,COMP_FFX_0008,2
4426,COMP_FFX_0012,2
4426,COMP_FFX_0017,2
4426,COMP_FFX_0022,2
4426,COMP_FFX_0027,2
4426,COMP_FFX_0032,2
4426,COMP_FFX_0038,2
4426,COMP_FFX_0004,3
4426,COMP_FFX_0010,3
4426,COMP_FFX_0015,3
4426,COMP_FFX_0018,3
4426,COMP_FFX_0023,3
4426,COMP_FFX_0028,3
4426,COMP_FFX_0033,3
4426,COMP_FFX_0037,3
4426,COMP_FFX_0005,4
4426,COMP_FFX_0007,4
4426,COMP_FFX_0013,4
4426,COMP_FFX_0019,4
4426,COMP_FFX_0025,4
4426,COMP_FFX_0029,4
4426,COMP_FFX_0034,4
4426,COMP_FFX_0039,4
4426,COMP_FFX_0003,5
4426,COMP_FFX_0009,5
4426,COMP_FFX_0014,5
4426,COMP_FFX_0020,5
4426,COMP_FFX_0024,5
4426,COMP_FFX_0030,5
4426,COMP_FFX_0035,5
4426,COMP_FFX_0040,5
5578,COMP_FFX_0001,1
5578,COMP_FFX_0007,1
5578,COMP_FFX_0012,1
5578,COMP_FFX_0016,1
5578,COMP_FFX_0021,1
5578,COMP_FFX_0027,1
5578,COMP_FFX_0031,1
5578,COMP_FFX_0036,1
5578,COMP_FFX_0002,2
5578,COMP_FFX_0008,2
5578,COMP_FFX_0013,2
5578,COMP_FFX_0018,2
5578,COMP_FFX_0022,2
5578,COMP_FFX_0029,2
5578,COMP_FFX_0035,2
5578,COMP_FFX_0037,2
5578,COMP_FFX_0003,3
5578,COMP_FFX_0009,3
5578,COMP_FFX_0011,3
5578,COMP_FFX_0019,3
5578,COMP_FFX_0024,3
5578,COMP_FFX_0026,3
5578,COMP_FFX_0032,3
5578,COMP_FFX_0038,3
5578,COMP_FFX_0004,4
5578,COMP_FFX_0006,4
5578,COMP_FFX_0014,4
5578,COMP_FFX_0017,4
5578,COMP_FFX_0023,4
5578,COMP_FFX_0030,4
5578,COMP_FFX_0033,4
5578,COMP_FFX_0039,4
5578,COMP_FFX_0005,5
5578,COMP_FFX_0010,5
5578,COMP_FFX_0015,5
5578,COMP_FFX_0020,5
5578,COMP_FFX_0025,5
5578,COMP_FFX_0028,5
5578,COMP_FFX_0034,5
5578,COMP_FFX_0040,5
8322,COMP_FFX_0001,1
8322,COMP_FFX_0006,1
8322,COMP_FFX_0011,1
8322,COMP_FFX_0016,1
8322,COMP_FFX_0023,1
8322,COMP_FFX_0026,1
8322,COMP_FFX_0031,1
8322,COMP_FFX_0037,1
8322,COMP_FFX_0002,2
8322,COMP_FFX_0007,2
8322,COMP_FFX_0013,2
8322,COMP_FFX_0017,2
8322,COMP_FFX_0022,2
8322,COMP_FFX_0028,2
8322,COMP_FFX_0033,2
8322,COMP_FFX_0036,2
8322,COMP_FFX_0004,3
8322,COMP_FFX_0008,3
8322,COMP_FFX_0014,3
8322,COMP_FFX_0018,3
8322,COMP_FFX_0024,3
8322,COMP_FFX_0029,3
8322,COMP_FFX_0034,3
8322,COMP_FFX_0038,3
8322,COMP_FFX_0005,4
8322,COMP_FFX_0009,4
8322,COMP_FFX_0015,4
8322,COMP_FFX_0019,4
8322,COMP_FFX_0025,4
8322,COMP_FFX_0027,4
8322,COMP_FFX_0032,4
8322,COMP_FFX_0039,4
8322,COMP_FFX_0003,5
8322,COMP_FFX_0010,5
8322,COMP_FFX_0012,5
8322,COMP_FFX_0020,5
8322,COMP_FFX_0021,5
8322,COMP_FFX_0030,5
8322,COMP_FFX_0035,5
8322,COMP_FFX_0040,5
